sample_code;Code;FW..g.;DW..g.;Bark....;Water.content..g.;Water.percentage;Plot;SubPlot;Class;Species;DiamClass;sample_density;Ntotal (g/100g);Ctotal (g/100g);Al (mg/Kg);As (mg/Kg);Be (mg/Kg);Bi (mg/Kg);B (mg/Kg);Ca (g/100g);Cd (mg/Kg);Co (mg/Kg);Cr (mg/Kg);Cu (mg/Kg);Fe (mg/Kg);K (g/100g);La (mg/Kg);Li (mg/Kg);Mg (g/100g);Mn (mg/Kg);Mo (mg/Kg);Na (g/100g);Ni (mg/Kg);Pb (mg/Kg);P (g/100g);Rb (mg/Kg);Sb (mg/Kg);Se (mg/Kg);Si (mg/Kg);S (g/100g);Sr (mg/Kg);Ti (mg/Kg);Tl (mg/Kg);V (mg/Kg);Zn (mg/Kg)
136;31AA4;1086.9;436.98;70;649.92;59.79574938;3;1;4;AA;25;268.7032056;0.1327;51.32;22.28558394;0.21669708;<0,01;<0,01;<0,01;0.151117701;0.171076642;<0,01;0.239507299;0.44479927;4.91560219;0.082208029;<0,01;0.171076642;0.024406934;39.05109489;<0,01;4.64E-04;0.22810219;0.44479927;0.000668339;2.121350365;<0,01;<0,01;13.84580292;0.009249544;11.3024635;0.433394161;<0,01;<0,01;4.698905109
148;32AA4;1047.3;565.86;80;481.44;45.96963621;3;2;4;AA;25;246.0471719;0.0981;50.23;15.3018198;0.177541056;<0,01;<0,01;<0,01;0.201176209;0.22192632;<0,01;9.99E-02;2.751886374;6.180648025;0.241788726;<0,01;0.144252108;0.037172659;36.32933866;<0,01;9.28E-04;0.288504217;0.377274745;0.001994008;5.392809587;<0,01;<0,01;12.99378606;0.008845983;12.8828229;1.120727918;<0,01;<0,01;4.216600089
160;33AA4;1016.4;349.46;75;666.94;65.61786698;3;3;4;AA;25;184.2806856;0.2398;49.56;18.12297735;3.60E-02;<0,01;<0,01;<0,01;0.126663071;5.39E-02;2.70E-02;2.70E-02;1.528227256;6.912980942;0.153272204;<0,01;0.116864437;0.026510248;36.29989213;<0,01;5.72E-03;0.323624595;0.134843581;0.006182129;4.836389788;<0,01;<0,01;16.19920892;0.012378641;10.51779935;0.94390507;<0,01;<0,01;7.029845379
172;34AA4;966.4;604.46;95;361.94;37.45240066;3;4;4;AA;25;265.5676005;0.1069;51.737;14.12784767;0.12750765;<0,01;<0,01;<0,01;0.123257395;0.161509691;<0,01;3.40E-02;2.932675961;3.723223393;0.150629038;<0,01;0.12750765;0.00932506;31.19687181;<0,01;5.74E-04;0.187011221;0.416524991;0.001183271;2.86467188;<0,01;<0,01;11.20367222;0.007684461;8.789527372;0.212512751;<0,01;<0,01;2.524651479
184;35AA4;1363.5;416.57;87;946.93;69.44847818;3;5;4;AA;25;208.148165;0.2592;47.98;8.663138518;3.45E-02;<0,01;<0,01;<0,01;0.121491026;4.60E-02;<0,01;0.885872066;1.564657156;9.088817303;0.258398527;<0,01;0.230096641;0.023815002;22.53796595;<0,01;5.83E-04;0.402669121;0.17257248;0.009195812;7.420616659;<0,01;<0,01;7.524160147;0.00933387;9.422457432;1.714219972;<0,01;<0,01;3.73907041
326;61AA4;2115.3;845.43;50;1269.87;60.03261949;6;1;4;AA;25;324.6858051;0.2256;48.08;16.26195029;7.65E-02;<0,01;<0,01;<0,01;0.107839388;0.181644359;<0,01;9.56E-02;1.988527725;10.18164436;0.044311663;<0,01;0.258126195;0.01332696;30.60229446;<0,01;1.50E-04;3.82E-02;0.162523901;0.004794455;1.051625239;<0,01;<0,01;27.50478011;0.008521989;6.625239006;1.89292543;<0,01;<0,01;6.281070746
344;62AA4;859.6;464.63;55;394.97;45.9481154;6;2;4;AA;25;338.348417;0.1873;51.84;76.85546875;8.54E-02;<0,01;<0,01;<0,01;0.185302734;0.524902344;2.44E-02;0.170898437;5.17578125;10.49804688;0.235595703;<0,01;0.390625;0.028149414;158.5693359;<0,01;1.69E-03;0.244140625;0.317382813;0.000853271;5.480957031;<0,01;<0,01;12.92724609;0.013317871;9.106445313;0.512695313;<0,01;<0,01;13.35449219
362;63AA4;1549.5;714.6;95;834.9;53.88189739;6;3;4;AA;25;260.5992336;0.2049;49.09;46.91734417;0.316169828;3.39E-02;<0,01;<0,01;0.074525745;0.25971093;7.90E-02;0.316169828;1.874435411;21.86088528;0.022256098;<0,01;0.25971093;0.01034327;38.06458898;<0,01;7.72E-04;0.214543812;0.971093044;0.004232159;0.846883469;<0,01;<0,01;30.99593496;0.011935411;4.144083107;2.664859982;<0,01;3.39E-02;6.041102078
380;64AA4;1426;781.53;60;644.47;45.19424965;6;4;4;AA;25;241.6139328;0.13201;46.79;8.426756353;9.34E-03;<0,01;<0,01;<0,01;0.140881913;0.214872945;<0,01;9.34E-02;1.9245142;6.483557549;0.126775037;<0,01;0.186846039;0.020898729;53.67152466;<0,01;8.08E-04;0.523168909;0.205530643;0.002844731;1.420029895;<0,01;<0,01;9.18348281;0.007901719;10.65022422;0.411061286;<0,01;<0,01;6.240657698
398;65AA4;839.1;309.94;75;529.16;63.06280539;6;5;4;AA;25;145.0689401;0.22315;50.815;34.32963279;0.202818104;<0,01;<0,01;<0,01;0.098217336;0.341588386;<0,01;0.117421008;2.892826644;22.17122118;0.043509821;<0,01;0.192143467;0.01072801;43.42442357;<0,01;2.09E-03;0.224167378;0.373612297;0.006880871;1.174210077;<0,01;<0,01;35.33304868;0.012948335;4.856959863;0.597779675;<0,01;<0,01;30.16652434
