Number;DW;E_W;Device_w;Eth_percentage;Total volume displaced;Ethanol density (g/cm3 20ºC;volume of the sample;Density_g_cm3;Density_kg_m3
325;147.788;246.5;26.33;96;220.17;0.805;273.5031056;0.540352182;540.3521824
4;229.307;243.08;4;96;239.08;0.805;296.9937888;0.772093588;772.0935879
142;33.88;104.45;24.45;96;80;0.805;99.37888199;0.3409175;340.9175
367;63.104;123.11;24.45;96;98.66;0.805;122.5590062;0.514886682;514.8866815
413;29.69;63.32;24.45;96;38.87;0.805;48.28571429;0.614881657;614.8816568
338;65.089;97;24.45;96;72.55;0.805;90.1242236;0.722214266;722.214266
129;25.735;45.83;24.45;96;21.38;0.805;26.55900621;0.968974509;968.9745089
369;33.744;84.64;24.45;96;60.19;0.805;74.77018634;0.451302874;451.3028742
84;87.436;95;24.45;96;70.55;0.805;87.63975155;0.997675124;997.675124
372;62.576;92.61;24.45;96;68.16;0.805;84.67080745;0.739050469;739.0504695
409;72.874;103.86;24.45;96;79.41;0.805;98.64596273;0.738742854;738.7428535
176;59.333;124.44;24.45;96;99.99;0.805;124.2111801;0.477678418;477.6784178
45;39.445;66.17;32.57;96;33.6;0.805;41.73913043;0.945036458;945.0364583
384;58.869;96.63;24.45;96;72.18;0.805;89.66459627;0.656546758;656.5467581
356;71.362;107.81;0;96;107.81;0.805;133.9254658;0.532848623;532.8486226
412;20.301;58.38;0;96;58.38;0.805;72.52173913;0.279929856;279.9298561
346;178.596;197.7;26.93;96;170.77;0.805;212.136646;0.841891316;841.8913158
377;15.791;18.2;0;96;18.2;0.805;22.60869565;0.698448077;698.4480769
115;61.505;88.13;0;96;88.13;0.805;109.4782609;0.561801033;561.8010326
157;61.748;70.01;0;96;70.01;0.805;86.9689441;0.710000571;710.0005713
166;35.164;41.4;0;96;41.4;0.805;51.42857143;0.683744444;683.7444444
44;29.935;39.32;0;96;39.32;0.805;48.8447205;;
12;66.978;104.25;0;96;104.25;0.805;129.5031056;;
153;37.979;52.11;0;96;52.11;0.805;64.73291925;0.586703032;586.703032
394;38.467;42.57;0;96;42.57;0.805;52.88198758;0.727412145;727.4121447
371;41.666;86.43;0;96;86.43;0.805;107.3664596;0.388072776;388.0727757
375;59.702;98.8;27.1;96;71.7;0.805;89.06832298;0.670294421;670.2944212
370;18.103;85.88;27.1;96;58.78;0.805;73.01863354;0.247923018;247.923018
734;37.29;69.62;27.1;96;42.52;0.805;52.81987578;0.705984243;705.9842427
408;82.193;113.49;27.1;96;86.39;0.805;107.3167702;0.76589148;765.8914805
352;27.774;73.3;27.1;96;46.2;0.805;57.39130435;0.483940909;483.9409091
155;79.265;119.01;27.1;96;91.91;0.805;114.173913;0.694247906;694.2479056
127;74.136;145.72;27.1;96;118.62;0.805;147.3540373;0.50311482;503.1148204
130;68.714;99.2;27.1;96;72.1;0.805;89.56521739;0.767195146;767.1951456
389;21.827;58.97;27.1;96;31.87;0.805;39.59006211;0.551325227;551.3252275
403;84.204;129.2;27.1;96;102.1;0.805;126.8322981;0.663900294;663.9002938
145;70.632;116.7;27.3;96;89.4;0.805;111.0559006;0.636004027;636.0040268
393;57.256;90.9;27.3;96;63.6;0.805;79.00621118;0.724702516;724.7025157
168;65.883;104.54;27.3;96;77.24;0.805;95.95031056;0.686636652;686.636652
167;94.881;128.34;27.3;96;101.04;0.805;125.515528;0.755930374;755.9303741
348;44.202;102.38;27.3;96;75.08;0.805;93.26708075;0.473929275;473.9292754
404;41.724;89.26;27.3;96;61.96;0.805;76.9689441;0.542088767;542.0887669
387;55.749;106.96;27.3;96;79.66;0.805;98.95652174;0.563368629;563.3686292
140;64.354;132.01;27.3;96;104.71;0.805;130.0745342;0.494747111;494.7471111
354;72.995;103.44;27.3;96;76.14;0.805;94.58385093;0.771749081;771.7490806
180;100.248;144.86;27.3;96;117.56;0.805;146.0372671;0.686454917;686.4549166
188;62.976;126.16;26.72;96;99.44;0.805;123.5279503;0.509811746;509.8117458
374;76.871;112.5;26.72;96;85.78;0.805;106.5590062;0.72139374;721.3937398
128;72.612;163.22;26.72;96;136.5;0.805;169.5652174;0.428224615;428.2246154
350;63.537;116.07;26.72;96;89.35;0.805;110.9937888;0.572437437;572.437437
410;82.901;117.02;26.72;96;90.3;0.805;112.173913;0.739039922;739.0399225
391;93.505;126.77;26.72;96;100.05;0.805;124.2857143;0.75233908;752.3390805
386;83.96;144.11;26.72;96;117.39;0.805;145.826087;0.575754323;575.7543232
358;30.266;60.52;26.72;96;33.8;0.805;41.98757764;0.720832249;720.8322485
124;106.652;144.67;26.72;96;117.95;0.805;146.5217391;0.727891988;727.8919881
48;41.705;92.35;26.72;96;65.63;0.805;81.52795031;0.511542359;511.5423587
411;55.76;85.8;25.77;99;60.03;0.7896;76.02583587;0.733434883;733.4348826
335;37.492;113;25.77;99;87.23;0.7896;110.4736575;0.339375022;339.3750224
143;70.741;103.89;25.77;99;78.12;0.7896;98.93617021;0.715016559;715.0165591
172;98.063;134.22;25.77;99;108.45;0.7896;137.3480243;0.713974595;713.9745947
193;28.137;63.33;25.77;99;37.56;0.7896;47.56838906;0.591506262;591.506262
388;43.52;115.9;25.77;99;90.13;0.7896;114.1464032;0.381264751;381.2647509
406;64.265;152.62;25.77;99;126.85;0.7896;160.6509625;0.400028727;400.0287268
192;39.05;70.83;26.6;99;44.23;0.7896;56.01570415;0.697125933;697.1259326
337;96.412;183.83;32.23;99;151.6;0.7896;191.9959473;0.502156433;502.1564327
120;57.634;92.2;26.6;99;65.6;0.7896;83.08004053;0.693716561;693.716561
82;61.915;91.34;26.6;99;64.74;0.7896;81.99088146;0.755144949;755.144949
133;63.064;96.47;26.6;99;69.87;0.7896;88.48784195;0.712685479;712.6854787
359;28.419;63.94;26.6;99;37.34;0.7896;47.28976697;0.600954537;600.9545367
11;43.389;79.64;26.6;99;53.04;0.7896;67.17325228;0.645926742;645.9267421
373;62.601;92.3;26.6;99;65.7;0.7896;83.20668693;0.752355397;752.3553973
156;75.674;100.55;26.6;99;73.95;0.7896;93.6550152;0.808007984;808.0079838
330;62.869;119.21;26.6;99;92.61;0.7896;117.287234;0.536025941;536.025941
341;48.824;81.44;26.6;99;54.84;0.7896;69.45288754;0.702980131;702.9801313
46;52.89;83.9;26.6;99;57.3;0.7896;72.56838906;0.728829738;728.8297382
165;62.969;118.63;26.6;99;92.03;0.7896;116.5526849;0.540262115;540.2621145
334;38.492;79.35;26.6;99;52.75;0.7896;66.80597771;0.576175985;576.1759848
336;108.269;145.16;26.6;99;118.56;0.7896;150.1519757;0.721062773;721.0627733
366;55.988;114.6;26.36;99;88.24;0.7896;111.7527862;0.500998694;500.9986945
144;57.08;85.87;26.36;99;59.51;0.7896;75.36727457;0.757357889;757.3578894
189;41.159;86.21;26.36;99;59.85;0.7896;75.79787234;0.543009965;543.0099649
141;50.258;102.54;25.83;99;76.71;0.7896;97.15045593;0.517321298;517.3212984
83;64.43;95.64;25.83;99;69.81;0.7896;88.4118541;0.728748431;728.7484315
154;35.469;98.36;26.35;99;72.01;0.7896;91.19807497;0.388922683;388.922683
351;40.046;95.83;26.35;99;69.48;0.7896;87.99392097;0.45509962;455.09962
43;38.357;81.47;26.35;99;55.12;0.7896;69.80749747;0.5494682;549.4682003
333;69.396;113.7;26.35;99;87.35;0.7896;110.6256332;0.627304884;627.3048838
118;101.514;130.45;26.35;99;104.1;0.7896;131.8389058;0.769985153;769.9851527
339;85.109;123.95;26.35;99;97.6;0.7896;123.6068896;0.688545762;688.5457623
353;38.274;88.39;26.35;99;62.04;0.7896;78.57142857;0.487123636;487.1236364
368;71.98;121.2;26.35;99;94.85;0.7896;120.1241135;0.599213579;599.2135793
81;38.429;68.04;32.14;99;35.9;0.7896;45.46605876;0.845223911;845.2239109
117;31.298;111.16;26.35;99;84.81;0.7896;107.4088146;0.291391355;291.3913548
8;64.764;140.33;26.35;99;113.98;0.7896;144.3515704;0.448654627;448.6546271
131;52.325;82.03;26.35;99;55.68;0.7896;70.51671733;0.742022629;742.0226293
402;74.215;140.13;26.35;99;113.78;0.7896;144.0982776;0.515030445;515.0304447
331;76.856;139.72;26.35;99;113.37;0.7896;143.5790274;0.535287092;535.2870918
390;81.464;110.65;33.13;99;77.52;0.7896;98.17629179;0.829772632;829.7726316
385;52.215;113.43;26.35;99;87.08;0.7896;110.2836879;0.473460772;473.4607717
80;57.517;132.08;26.35;99;105.73;0.7896;133.9032421;0.429541504;429.5415038
169;26.233;65.58;26.35;99;39.23;0.7896;49.68338399;0.528003487;528.0034871
119;49.644;86.4;26.35;99;60.05;0.7896;76.05116515;0.652771064;652.7710641
405;53.181;118.65;26.82;99;91.83;0.7896;116.2993921;0.457276681;457.2766808
181;26.556;61.74;26.82;99;34.92;0.7896;44.22492401;0.600475876;600.4758763
395;28.868;64.52;26.82;99;37.7;0.7896;47.74569402;0.604619968;604.6199682
79;79.948;153.2;26.82;99;126.38;0.7896;160.0557244;0.499501035;499.501035
132;33.258;60.93;26.82;99;34.11;0.7896;43.19908815;0.769877361;769.8773615
349;66.473;141.82;26.82;99;115;0.7896;145.6433637;0.456409398;456.4093983
357;82.927;115.54;26.82;99;88.72;0.7896;112.360689;0.738042822;738.0428224
47;49.645;80.39;26.82;99;53.57;0.7896;67.84447822;0.731747097;731.7470973
355;115.164;141.54;26.82;99;114.72;0.7896;145.2887538;0.792655983;792.6559833
152;55.148;99.52;26.82;99;72.7;0.7896;92.07193516;0.598966448;598.9664484
191;91.532;121.66;26.43;96;95.23;0.805;118.2981366;0.773739998;773.7399979
332;34.247;80.45;26.43;96;54.02;0.805;67.10559006;0.510344965;510.3449648
116;51.046;121.67;26.43;96;95.24;0.805;118.310559;0.431457686;431.4576858
190;29.049;63.2;34.08;96;29.12;0.805;36.17391304;0.80303726;803.0372596
178;57.35;117.41;26.41;96;91;0.805;113.0434783;0.507326923;507.3269231
427;49.307;88.66;26.41;96;62.25;0.805;77.32919255;0.637624659;637.6246586
164;57.195;133.34;26.41;96;106.93;0.805;132.8322981;0.43058052;430.58052
177;31.415;77.76;26.41;96;51.35;0.805;63.78881988;0.492484421;492.4844206
376;54.174;92.4;26.41;96;65.99;0.805;81.97515528;0.660858766;660.8587665
7;43.022;109.59;26.41;96;83.18;0.805;103.3291925;0.41635862;416.3586199
407;23.637;78.77;26.41;96;52.36;0.805;65.04347826;0.363403075;363.4030749
392;54.948;89.54;26.41;96;63.13;0.805;78.42236025;0.700667511;700.6675115
