"sample_code_combined","Q10","sample_code","Code","Class","Species","DiamClass"
"272+273",0,272,"01-P3S3C4FS-S","4","FS",1
"276+278",1.81303958847708,276,"01-P3S4C1AA-S","1","AA",1
"280+281",1.20462137591159,280,"01-P3S4C2AA-S","2","AA",1
"280+281",1.20462137591159,281,"01-P3S4C2AA-F","2","AA",1
"284+285",0.667458943079216,284,"01-P3S4C4AA-S","4","AA",1
"284+285",0.667458943079216,285,"01-P3S4C4AA-F","4","AA",1
"284+286",1,284,"01-P3S4C4AA-S","4","AA",1
"288+289",1.3383036349269,288,"01-P3S4C1FS-S","1","FS",1
"288+289",1.3383036349269,289,"01-P3S4C1FS-F","1","FS",1
"29+30",1.14570336225127,29,"01-P1S1C4FS-S","4","FS",1
"29+30",1.14570336225127,30,"01-P1S1C4FS-F","4","FS",1
"292+293",16.5488003254354,292,"01-P3S4C2FS-S","2","FS",1
"292+294",1,292,"01-P3S4C2FS-S","2","FS",1
"293+295",0.300598778125009,293,"01-P3S4C2FS-F","2","FS",1
"296+297",1.18264671149256,296,"01-P3S4C4FS-S","4","FS",1
"296+297",1.18264671149256,297,"01-P3S4C4FS-F","4","FS",1
"300+301",0.77317746062397,300,"01-P3S5C1AA-S","1","AA",1
"305+306",0,305,"01-P3S5C2AA-F","2","AA",1
"305+306",0,306,"01-P3S5C2AA-W","2","AA",1
"308+309",0.695260100840947,308,"01-P3S5C4AA-S","4","AA",1
"312+313",1.10572811650102,313,"01-P3S5C1FS-F","1","FS",1
"312+313",1.10572811650102,312,"01-P3S5C1FS-S","1","FS",1
"316+317",4.11859356021334,316,"01-P3S5C2FS-S","2","FS",1
"318+319",1,319,"01-P3S5C2FS-Sp","2","FS",1
"320+321",0.750543908004391,320,"01-P3S5C4FS-S","4","FS",1
"320+321",0.750543908004391,321,"01-P3S5C4FS-F","4","FS",1
"33+34",0,34,"01-P1S1C4AA-F","4","AA",1
"33+34",0,33,"01-P1S1C4AA-S","4","AA",1
"444+445",1.63274183237278,444,"01-P6S1C1AA-S","1","AA",1
"444+445",1.63274183237278,445,"01-P6S1C1AA-F","1","AA",1
"445+452",0,445,"01-P6S1C1AA-F","1","AA",1
"449+450",1.47998998725226,449,"01-P6S1C2AA-F","2","AA",1
"449+450",1.47998998725226,450,"01-P6S1C2AA-W","2","AA",1
"452+453",0,452,"01-P6S1C4AA-S","4","AA",1
"452+453",0,453,"01-P6S1C4AA-F","4","AA",1
"452+455",0.476551419674345,452,"01-P6S1C4AA-S","4","AA",1
"454+455",31.0219079121919,455,"01-P6S1C4AA-Sp","4","AA",1
"455+456",1,455,"01-P6S1C4AA-Sp","4","AA",1
"456+457",3.12235286990073,457,"01-P6S1C2FS-F","2","FS",1
"456+457",3.12235286990073,456,"01-P6S1C2FS-S","2","FS",1
"457+459",0,459,"01-P6S1C2FS-Sp","2","FS",1
"457+459",0,457,"01-P6S1C2FS-F","2","FS",1
"461+462",0.62480172988536,461,"01-P6S1C4FS-F","4","FS",1
"461+462",0.62480172988536,462,"01-P6S1C4FS-W","4","FS",1
"464+465",0.000959607898652255,464,"01-P6S2C1AA-S","1","AA",1
"464+467",Inf,467,"01-P6S2C1AA-Sp","1","AA",1
"464+467",Inf,464,"01-P6S2C1AA-S","1","AA",1
"466+467",1.16597974128707,466,"01-P6S2C1AA-W","1","AA",1
"468+469",1.71346487356964,468,"01-P6S2C2AA-S","2","AA",1
"468+469",1.71346487356964,469,"01-P6S2C2AA-F","2","AA",1
"469+470",1.02719194559684,469,"01-P6S2C2AA-F","2","AA",1
"472+473",NA,472,"01-P6S2C4AA-S","4","AA",1
"474+475",0.895199532378387,475,"01-P6S2C4AA-Sp","4","AA",1
"474+475",0.895199532378387,474,"01-P6S2C4AA-W","4","AA",1
"475+478",0.000100584380540089,478,"01-P6S1C1FS-S","1","FS",1
"475+478",0.000100584380540089,475,"01-P6S2C4AA-Sp","4","AA",1
"476+477",0.967802486327849,476,"01-P6S2C1FS-S","1","FS",1
"476+477",0.967802486327849,477,"01-P6S2C1FS-F","1","FS",1
"478+479",0.49310225703866,479,"01-P6S1C1FS-F","1","FS",1
"478+479",0.49310225703866,478,"01-P6S1C1FS-S","1","FS",1
"484+485",0.675546032684567,484,"01-P6S2C2FS-S","2","FS",1
"485+487",1,485,"01-P6S2C2FS-F","2","FS",1
"488+489",0.47622391474059,488,"01-P6S2C4FS-S","4","FS",1
"488+489",0.47622391474059,489,"01-P6S2C4FS-F","4","FS",1
"488+491",1,488,"01-P6S2C4FS-S","4","FS",1
"489+490",7.82833758177709,489,"01-P6S2C4FS-F","4","FS",1
"49+50",1.97600641829928,49,"01-P1S2C1AA-S","1","AA",1
"492+493",0.0658536460684138,492,"01-P6S3C1AA-S","1","AA",1
"492+494",12198.8682022542,492,"01-P6S3C1AA-S","1","AA",1
"493+494",0.788055465171865,494,"01-P6S3C1AA-W","1","AA",1
"494+495",3474.58626173209,494,"01-P6S3C1AA-W","1","AA",1
"496+497",0.217855635389403,496,"01-P6S3C2AA-S","2","AA",1
"496+497",0.217855635389403,497,"01-P6S3C2AA-F","2","AA",1
"497+498",0.440728523681469,497,"01-P6S3C2AA-F","2","AA",1
"497+499",2.36901376713682,499,"01-P6S3C2AA-Sp","2","AA",1
"497+499",2.36901376713682,497,"01-P6S3C2AA-F","2","AA",1
"500+501",13.0930929282378,500,"01-P6S3C4AA-S","4","AA",1
"500+502",0.658291495023791,502,"01-P6S3C4AA-W","4","AA",1
"500+502",0.658291495023791,500,"01-P6S3C4AA-S","4","AA",1
"501+502",1.82637839482224e-06,502,"01-P6S3C4AA-W","4","AA",1
"501+502",1.82637839482224e-06,501,"01-P6S3C4AA-F","4","AA",1
"501+503",1,501,"01-P6S3C4AA-F","4","AA",1
"504+505",Inf,504,"01-P6S3C1FS-S","1","FS",1
"504+505",Inf,505,"01-P6S3C1FS-F","1","FS",1
"504+507",0.683466373962311,507,"01-P6S3C1FS-Sp","1","FS",1
"504+507",0.683466373962311,504,"01-P6S3C1FS-S","1","FS",1
"506+507",NA,506,"01-P6S3C1FS-W","1","FS",1
"508+509",2.82886970398223,508,"01-P6S3C2FS-S","2","FS",1
"512+514",NA,512,"01-P6S3C4FS-S","4","FS",1
"512+514",NA,514,"01-P6S3C4FS-W","4","FS",1
"512+515",6.59054317298305,512,"01-P6S3C4FS-S","4","FS",1
"512+515",6.59054317298305,515,"01-P6S3C4FS-Sp","4","FS",1
"514+515",0,514,"01-P6S3C4FS-W","4","FS",1
"516+517",0.667291507915889,516,"01-P6S4C1AA-S","1","AA",1
"516+519",16615577.2653203,516,"01-P6S4C1AA-S","1","AA",1
"517+518",0,518,"01-P6S4C1AA-W","1","AA",1
"517+518",0,517,"01-P6S4C1AA-F","1","AA",1
"520+521",NA,520,"01-P6S4C2AA-S","2","AA",1
"520+522",1585.36414777858,520,"01-P6S4C2AA-S","2","AA",1
"520+523",8.80221908289875,520,"01-P6S4C2AA-S","2","AA",1
"520+523",8.80221908289875,523,"01-P6S4C2AA-Sp","2","AA",1
"521+523",1,523,"01-P6S4C2AA-Sp","2","AA",1
"524+525",Inf,524,"01-P6S4C4AA-S","4","AA",1
"528+529",Inf,528,"01-P6S4C1FS-S","1","FS",1
"528+530",0.283974103352318,530,"01-P3S1C1AA-W","1","AA",1
"528+530",0.283974103352318,530,"01-P6S4C1FS-W","1","FS",1
"53+54",1.34402824775523,53,"01-P1S2C2AA-S","2","AA",1
"53+54",1.34402824775523,54,"01-P1S2C2AA-F","2","AA",1
"530+531",362.62847958573,530,"01-P3S1C1AA-W","1","AA",1
"530+531",362.62847958573,530,"01-P6S4C1FS-W","1","FS",1
"532+533",0.643222498826128,532,"01-P6S4C4FS-S","4","FS",1
"534+535",0,535,"01-P6S4C4FS-Sp","4","FS",1
"534+535",0,534,"01-P6S4C4FS-W","4","FS",1
"536+537",0.0419007205726672,536,"01-P6S4C2FS-S","2","FS",1
"536+537",0.0419007205726672,537,"01-P6S4C2FS-F","2","FS",1
"536+538",0.118921878319144,536,"01-P6S4C2FS-S","2","FS",1
"536+539",5445751.28207501,536,"01-P6S4C2FS-S","2","FS",1
"538+539",1,538,"01-P6S4C2FS-W","2","FS",1
"540+541",1.8886612493798,540,"01-P6S5C1AA-S","1","AA",1
"540+541",1.8886612493798,541,"01-P6S5C1AA-F","1","AA",1
"542+543",1,542,"01-P6S5C1AA-W","1","AA",1
"544+545",Inf,544,"01-P6S5C2AA-S","2","AA",1
"545+546",0,545,"01-P6S5C2AA-F","2","AA",1
"545+547",Inf,545,"01-P6S5C2AA-F","2","AA",1
"548+549",1.4132740842407,548,"01-P6S5C4AA-S","4","AA",1
"548+549",1.4132740842407,549,"01-P6S5C4AA-F","4","AA",1
"548+551",9.88732789908188e-12,548,"01-P6S5C4AA-S","4","AA",1
"548+551",9.88732789908188e-12,551,"01-P6S5C4AA-Sp","4","AA",1
"549+551",NA,549,"01-P6S5C4AA-F","4","AA",1
"552+553",2.81963391154467,552,"01-P6S5C1FS-S","1","FS",1
"552+555",3.76890061774458,555,"01-P6S5C1FS-Sp","1","FS",1
"552+555",3.76890061774458,552,"01-P6S5C1FS-S","1","FS",1
"553+554",31.970106590202,553,"01-P6S5C1FS-F","1","FS",1
"553+554",31.970106590202,554,"01-P6S5C1FS-W","1","FS",1
"556+557",0.344992582887728,557,"01-P6S5C2FS-F","2","FS",1
"556+557",0.344992582887728,556,"01-P6S5C2FS-S","2","FS",1
"557+558",7.45835178804671,557,"01-P6S5C2FS-F","2","FS",1
