"","Bark(%)","Waterpercentage","Class","DiamClass","Species","T3","T2","T1","Soil_moist","correctedArea","Plot...16","SubPlot"
"566",98,39.5695669343162,2,25,"AA",23.9375,21.75,16.125,2039,4.53399959846211,1,1
"567",98,34.7209778796402,1,25,"FS",23.9375,21.75,16.125,2039,2.84728127690962,1,1
"568",94,36.0666049953747,2,25,"FS",23.9375,21.75,16.125,2039,2.74028120264072,1,1
"569",85,53.3838517788808,4,25,"FS",23.875,21.75,16.125,2021,1.87748577089474,1,1
"570",100,36.6674707514172,1,25,"AA",22.625,20.75,16.3125,2034,17.0012652218263,1,1
"571",98,39.5695669343162,2,25,"AA",22.625,20.75,16.3125,2034,15.4702886778359,1,1
"572",86,38.3100895987534,4,25,"AA",22.625,20.75,16.3125,2034,13.2425693448713,1,1
"573",98,34.7209778796402,1,25,"FS",23.125,21.375,16.375,2001,4.47204729592874,1,1
"574",94,36.0666049953747,2,25,"FS",22.5,20.75,16.25,2034,4.23249683203207,1,1
"575",100,27.6917006256098,1,1,"FS",22.875,20.75,15.875,2059,2.17590485415306,1,1
"576",98,15.1790842041298,2,1,"FS",23.9375,21.4375,15.875,2026,6.89455303625236,1,1
"577",100,17.3970219839754,1,1,"AA",23.9375,21.4375,15.875,2026,2.142214347217,1,1
"578",90,10.1781528363807,4,1,"AA",23,20.9375,15.875,2062,0,1,1
"579",61,11.3128976962455,4,1,"FS",23,20.9375,15.875,2062,0.52298569623873,1,1
"580",100,27.6901179341196,2,10,"FS",23,20.9375,15.875,2062,76.4247882485288,1,1
"581",98,38.9447513812155,1,10,"FS",23.875,21.5,15.875,2025,138.157590252158,1,1
"582",100,27.6901179341196,2,10,"FS",23.9375,21.75,16.125,2039,86.5958574775236,1,1
"583",98,38.9447513812155,1,10,"FS",23.9375,21.75,16.125,2039,147.076961784444,1,1
"584",98,15.1790842041298,2,1,"FS",23.9375,21.75,16.125,2039,6.75243207296779,1,1
"585",100,27.6917006256098,1,1,"FS",23.875,21.75,16.125,2021,2.51889921121024,1,1
"586",97.5,12.6808810750224,2,1,"AA",23.5,21.625,16.125,2039,0.287018716655033,1,1
"587",100,17.3970219839754,1,1,"AA",23.5,21.625,16.125,2039,5.18612194735676,1,1
"588",90,10.1781528363807,4,1,"AA",23.5,21.625,16.125,2039,0,1,1
"589",61,11.3128976962455,4,1,"FS",23.5,21.625,16.125,2039,0,1,1
"590",98,38.9447513812155,1,10,"FS",22.625,20.75,16.3125,2034,41.58912197507,1,1
"591",100,27.6901179341196,2,10,"FS",22.625,20.75,16.3125,2034,102.565448873875,1,1
"592",98,15.1790842041298,2,1,"FS",22.625,20.75,16.3125,2034,7.78251577459329,1,1
"593",100,27.6917006256098,1,1,"FS",22.625,20.75,16.3125,2034,3.85844502853834,1,1
"594",97.5,12.6808810750224,2,1,"AA",23.125,21.375,16.375,2001,1.01907775001252,1,1
"595",100,17.3970219839754,1,1,"AA",23.125,21.375,16.375,2001,4.51881385639751,1,1
"596",90,10.1781528363807,4,1,"AA",22.5,20.75,16.25,2034,0,1,1
"597",61,11.3128976962455,4,1,"FS",22.5,20.75,16.25,2034,0,1,1
"598",95,37.4526650755768,1,25,"AA",22.75,18.9375,15.5,2643,1.87252295448154,1,2
"599",95,38.9050921809236,2,25,"AA",22.75,18.9375,15.5,2643,2.34205427484639,1,2
"600",90,48.3640199462984,4,25,"AA",23.5,19.125,15.4375,2636,1.99898618951594,1,2
"601",95,34.4375976026675,1,25,"FS",22.75,19,15.5,2643,4.86636568195672,1,2
"602",99,34.272449927046,2,25,"FS",22.75,19,15.5,2643,3.49792070277627,1,2
"603",60,51.2386280455924,4,25,"FS",22.75,19,15.5,2643,2.48464018001775,1,2
"604",95,37.4526650755768,1,25,"AA",23.0625,19.5,15.75,2644,1.61253883216965,1,2
"605",95,38.9050921809236,2,25,"AA",23.0625,19.5,15.75,2644,1.86731365636429,1,2
"606",90,48.3640199462984,4,25,"AA",23.0625,19.5,15.75,2644,2.1628116458068,1,2
"607",95,34.4375976026675,1,25,"FS",23.1875,19.3125,15.625,2636,5.2159278490984,1,2
"608",99,34.272449927046,2,25,"FS",22.5,19.3125,15.75,2644,2.89970410137095,1,2
"609",60,51.2386280455924,4,25,"FS",22.5,19.3125,15.75,2644,1.81728991245542,1,2
"610",95,37.4526650755768,1,25,"AA",22.0625,19,15.875,2643,1.99312912306135,1,2
"611",95,38.9050921809236,2,25,"AA",22.0625,19,15.875,2643,2.21899327292587,1,2
"612",90,48.3640199462984,4,25,"AA",22.0625,19,15.875,2643,1.7617633562519,1,2
"613",95,34.4375976026675,1,25,"FS",22.0625,19,15.875,2643,5.16074327787148,1,2
"614",99,34.272449927046,2,25,"FS",22.0625,19,15.875,2643,3.32612167229212,1,2
"615",60,51.2386280455924,4,25,"FS",22.0625,19,15.875,2643,2.06257339967983,1,2
"616",100,21.8082334549244,1,10,"AA",22.125,19,15.875,2643,99.8037210911982,1,2
"617",100,39.0904033379694,1,10,"FS",22.75,19,15.5,2643,172.077068144802,1,2
"618",100,21.8082334549244,1,10,"AA",22.75,19,15.5,2643,39.0627790263795,1,2
"619",92,28.6669741697417,4,10,"AA",23.75,19.25,15.5,2636,41.7396585711197,1,2
"620",94,29.6543951915853,2,10,"FS",22.875,19,15.5,2644,330.751230939334,1,2
"621",99,12.8743930650533,2,1,"AA",22.875,19,15.5,2644,0.932192161077324,1,2
"622",100,30.4125113327289,1,1,"FS",22.875,19,15.5,2644,2.85347690098721,1,2
"623",65.5,10.6925582039911,4,1,"FS",22.875,19,15.5,2644,0,1,2
"624",100,24.0003972485312,1,1,"AA",22.875,19,15.5,2644,2.51408899498949,1,2
"625",100,11.427184809589,4,1,"AA",23.75,19.25,15.5,2636,0.489612947121607,1,2
"626",96,22.2860800299732,1,1,"FS",23.75,19.25,15.5,2636,3.25524821347039,1,2
"627",100,21.8082334549244,1,10,"AA",22.5,19.3125,15.75,2644,40.4219216871077,1,2
"628",92,28.6669741697417,4,10,"AA",22.5,19.3125,15.75,2644,49.7961352247012,1,2
"629",94,29.6543951915853,2,10,"FS",22.5,19.3125,15.75,2644,315.154768923451,1,2
"630",100,39.0904033379694,1,10,"FS",22.5,19.3125,15.75,2644,184.543074393696,1,2
"631",78,65.1763457968709,4,10,"FS",22.5,19.3125,15.75,2644,61.4339225881905,1,2
"632",99,12.8743930650533,2,1,"AA",23.0625,19.25,15.6875,2636,0.566191562254929,1,2
"633",100,30.4125113327289,1,1,"FS",22.125,19.125,15.75,2644,3.35804974898133,1,2
"634",65.5,10.6925582039911,4,1,"FS",22.125,19.125,15.75,2644,0,1,2
"635",100,24.0003972485312,1,1,"AA",22.125,19.125,15.75,2644,2.53550189296491,1,2
"636",100,11.427184809589,4,1,"AA",22.125,19.125,15.75,2644,0,1,2
"637",96,22.2860800299732,1,1,"FS",22.125,19.125,15.75,2644,4.6541284703509,1,2
"638",100,24.0003972485312,1,1,"AA",22.0625,19,15.875,2643,3.06854558011012,1,2
"639",100,11.427184809589,4,1,"AA",22.0625,19,15.875,2643,0,1,2
"640",96,22.2860800299732,1,1,"FS",22.0625,19,15.875,2643,4.16322786427344,1,2
"641",99,12.8743930650533,2,1,"AA",22.0625,19,15.875,2643,2.73052165542961,1,2
"642",100,30.4125113327289,1,1,"FS",22.0625,19,15.875,2643,3.73028717031075,1,2
"643",65.5,10.6925582039911,4,1,"FS",22.0625,19,15.875,2643,0.451775386795209,1,2
"644",78,65.1763457968709,4,10,"FS",22.0625,19,15.875,2643,64.8351673185654,1,2
"645",100,39.0904033379694,1,10,"FS",22.125,19,15.875,2643,116.045726353714,1,2
"646",100,21.8082334549244,1,10,"AA",22.125,19,15.875,2643,50.2666965170409,1,2
"647",92,28.6669741697417,4,10,"AA",22.125,19,15.875,2643,50.3391220905318,1,2
"648",94,29.6543951915853,2,10,"FS",22.125,19,15.875,2643,340.111137815336,1,2
"649",100,27.764390896921,1,25,"AA",22.875,19,15.375,2551,1.58858043800216,1,3
"650",96,39.9221760483566,2,25,"AA",23.8125,19.25,15.5,2534,1.18911723787216,1,3
"651",82,46.1132029636827,4,25,"AA",23,19,15.4375,2551,3.98708802103858,1,3
"652",100,40.923922577627,1,25,"FS",23,19,15.4375,2551,1.46895699592933,1,3
"653",90,34.7685458348978,2,25,"FS",23,19,15.4375,2551,7.1134804582455,1,3
"654",80,36.7639401171621,4,25,"FS",23,19,15.4375,2551,4.48475206621474,1,3
"655",100,27.764390896921,1,25,"AA",22.875,19.375,15.625,2550,1.27674324824149,1,3
"656",96,39.9221760483566,2,25,"AA",23,19.3125,15.625,2532,0.878749021995937,1,3
"657",82,46.1132029636827,4,25,"AA",22.5,19.25,15.625,2550,3.61996664418147,1,3
"658",100,40.923922577627,1,25,"FS",22.5,19.25,15.625,2550,1.02591098810598,1,3
"659",90,34.7685458348978,2,25,"FS",23,19.25,15.625,2532,6.11375386648063,1,3
"660",96,39.9221760483566,2,25,"AA",22.6875,19.1875,15.75,2547,0.857570823575,1,3
"661",82,46.1132029636827,4,25,"AA",22.6875,19.1875,15.75,2547,4.52348965472191,1,3
"662",100,40.923922577627,1,25,"FS",22.6875,19.1875,15.75,2547,0.975039368861042,1,3
"663",90,34.7685458348978,2,25,"FS",22.75,19.1875,15.75,2547,6.24165445795754,1,3
"664",80,36.7639401171621,4,25,"FS",22.75,19.1875,15.75,2547,3.54703853343226,1,3
"665",75,55.6732848437193,4,10,"FS",22.875,19,15.375,2551,55.5351223311756,1,3
"666",100,26.0896117564136,1,1,"FS",23,19.125,15.4375,2550,7.37089324872133,1,3
"667",100,13.7698269193658,2,1,"FS",23,19.125,15.4375,2550,2.03343836128477,1,3
"668",100,23.0933093899627,1,1,"AA",23,19.125,15.4375,2550,2.21089090170357,1,3
"669",100,100,2,1,"AA",23,19.125,15.4375,2550,1.04069500819964,1,3
"670",92,55.2062868369352,4,1,"AA",23.875,19.4375,15.5,2534,0,1,3
"671",67.5,11.5356413030412,4,1,"FS",23,19.125,15.5,2550,0,1,3
"672",88,56.2784987723606,4,10,"AA",23,19.125,15.5,2550,45.5853187717579,1,3
"673",100,35.4412591343451,2,10,"FS",23,19.125,15.5,2550,387.805554906743,1,3
"674",98,39.2037087537497,1,10,"FS",23.6875,19.4375,15.5,2534,115.996046755685,1,3
"675",97,65.6649533262436,2,1,"AA",22.25,19.125,15.6875,2549,-9.73449072110486,1,3
"676",92,55.2062868369352,4,1,"AA",22.25,19.125,15.6875,2549,0,1,3
"677",67.5,11.5356413030412,4,1,"FS",22.25,19.125,15.6875,2549,0,1,3
"678",100,26.0896117564136,1,1,"FS",22.25,19.125,15.6875,2549,10.2990517713844,1,3
"679",100,13.7698269193658,2,1,"FS",22.9375,19.25,15.6875,2532,5.07061864332771,1,3
"680",100,23.0933093899627,1,1,"AA",22.375,19.125,15.6875,2549,4.46872082184385,1,3
"681",98,39.2037087537497,1,10,"FS",22.375,19.125,15.6875,2549,151.796888224629,1,3
"682",88,56.2784987723606,4,10,"AA",22.375,19.125,15.6875,2549,50.7078200969378,1,3
"683",100,35.4412591343451,2,10,"FS",22.375,19.125,15.6875,2549,361.055442612613,1,3
"684",98,39.2037087537497,1,10,"FS",22.6875,19.1875,15.75,2547,138.655285018639,1,3
"685",88,56.2784987723606,4,10,"AA",22.75,19.1875,15.75,2547,54.4339534818561,1,3
"686",100,35.4412591343451,2,10,"FS",22.75,19.1875,15.75,2547,415.723080636227,1,3
"687",100,100,2,1,"AA",22.75,19.1875,15.75,2547,1.34616702133164,1,3
"688",92,55.2062868369352,4,1,"AA",22.75,19.1875,15.75,2547,0.904628875099129,1,3
"689",67.5,11.5356413030412,4,1,"FS",22.75,19.1875,15.75,2547,2.06091404091897,1,3
"690",100,26.0896117564136,1,1,"FS",22.75,19.1875,15.75,2547,10.3645236270524,1,3
"691",100,13.7698269193658,2,1,"FS",22.625,19.1875,15.8125,2547,3.77683179268057,1,3
"692",100,23.0933093899627,1,1,"AA",22.625,19.1875,15.8125,2547,3.83384161129623,1,3
"693",94,31.3299066524873,1,25,"AA",25.25,20.8125,15.625,2846,0.685926038782507,1,4
"694",96,37.4818156707485,2,25,"AA",24,20.5,15.625,2870,0.5880190662186,1,4
"695",90,50.8196221815966,4,25,"AA",24,20.5,15.625,2870,0.853576768144428,1,4
"696",88,33.214482320559,1,25,"FS",24,20.5,15.625,2870,0.725949294070356,1,4
"697",77,31.6584473028624,2,25,"FS",24,20.5,15.625,2870,2.26575521135562,1,4
"698",75,70.689224262232,4,25,"FS",24.875,21,15.625,2846,7.80178914644517,1,4
"699",94,31.3299066524873,1,25,"AA",22.25,19.875,15.75,2868,1.12351309777281,1,4
"700",96,37.4818156707485,2,25,"AA",22.25,19.875,15.75,2868,0.413547428442908,1,4
"701",90,50.8196221815966,4,25,"AA",23.125,20.25,15.75,2843,1.01121450786989,1,4
"702",88,33.214482320559,1,25,"FS",22.3125,19.875,15.8125,2868,0.378014107564683,1,4
"703",77,31.6584473028624,2,25,"FS",22.3125,19.875,15.8125,2868,2.16336730178618,1,4
"704",75,70.689224262232,4,25,"FS",23.25,20.25,15.8125,2843,8.19921897195643,1,4
"705",94,31.3299066524873,1,25,"AA",22.5,19.75,15.9375,2864,0.71415544689418,1,4
"706",96,37.4818156707485,2,25,"AA",22.5,19.75,15.9375,2864,0.247050457903953,1,4
"707",90,50.8196221815966,4,25,"AA",22.4375,19.75,16,2861,1.1213095961395,1,4
"708",88,33.214482320559,1,25,"FS",22.4375,19.75,16,2861,0.719275053696253,1,4
"709",77,31.6584473028624,2,25,"FS",22.4375,19.75,16,2861,2.2371116378673,1,4
"710",75,70.689224262232,4,25,"FS",22.4375,19.75,16,2861,8.79785410066293,1,4
"711",100,23.4360788276907,2,10,"FS",23.375,20.375,15.625,2870,78.5165514736863,1,4
"712",92,34.1668786568303,1,10,"FS",23.375,20.375,15.625,2870,56.273565467498,1,4
"713",99,33.836345773956,1,1,"AA",23.5625,20.375,15.625,2870,3.86049731750303,1,4
"714",96,31.8851628427957,2,1,"AA",23.5625,20.375,15.625,2870,1.2473172150031,1,4
"715",11,NA,4,1,"FS",23.5625,20.375,15.625,2870,0.300117379557791,1,4
